vuln_id,cvss_base_score,exploit_available
CVE-2024-1000,2.8,False
CVE-2024-1001,7.7,False
CVE-2024-1002,3.9,False
CVE-2024-1003,5.2,True
CVE-2024-1004,3.3,False
CVE-2024-1005,8.0,False
CVE-2024-1006,3.3,False
CVE-2024-1007,4.0,False
CVE-2024-1008,6.3,False
CVE-2024-1009,3.4,False
CVE-2024-1010,8.5,False
CVE-2024-1011,6.8,False
CVE-2024-1012,3.4,False
CVE-2024-1013,2.4,False
CVE-2024-1014,5.5,False
CVE-2024-1015,3.6,False
CVE-2024-1016,4.3,False
CVE-2024-1017,4.4,False
CVE-2024-1018,2.5,False
CVE-2024-1019,1.1,False
CVE-2024-1020,4.0,False
CVE-2024-1021,3.5,False
CVE-2024-1022,3.4,False
CVE-2024-1023,3.8,False
CVE-2024-1024,4.5,False
CVE-2024-1025,4.3,False
CVE-2024-1026,5.8,True
CVE-2024-1027,5.8,False
CVE-2024-1028,2.3,False
CVE-2024-1029,3.5,False
CVE-2024-1030,4.4,False
CVE-2024-1031,9.7,False
CVE-2024-1032,4.2,False
CVE-2024-1033,5.0,False
CVE-2024-1034,5.7,True
CVE-2024-1035,3.2,False
CVE-2024-1036,9.4,False
CVE-2024-1037,8.1,False
CVE-2024-1038,4.3,False
CVE-2024-1039,5.6,False
CVE-2024-1040,3.7,False
CVE-2024-1041,3.7,True
CVE-2024-1042,5.5,False
CVE-2024-1043,2.2,False
CVE-2024-1044,5.4,False
CVE-2024-1045,9.7,False
CVE-2024-1046,3.6,False
CVE-2024-1047,10.0,False
CVE-2024-1048,3.9,False
CVE-2024-1049,7.5,False
CVE-2024-1050,3.2,False
CVE-2024-1051,6.5,False
CVE-2024-1052,5.6,False
CVE-2024-1053,5.3,False
CVE-2024-1054,2.6,True
CVE-2024-1055,7.4,False
CVE-2024-1056,5.7,True
CVE-2024-1057,0.6,True
CVE-2024-1058,3.6,False
CVE-2024-1059,3.1,False
CVE-2024-1060,5.8,False
CVE-2024-1061,4.1,False
CVE-2024-1062,3.4,False
CVE-2024-1063,4.7,False
CVE-2024-1064,3.1,False
CVE-2024-1065,7.2,False
CVE-2024-1066,2.9,False
CVE-2024-1067,4.8,False
CVE-2024-1068,6.7,False
CVE-2024-1069,3.3,False
CVE-2024-1070,5.2,False
CVE-2024-1071,3.2,False
CVE-2024-1072,3.4,False
CVE-2024-1073,4.5,True
CVE-2024-1074,6.4,False
CVE-2024-1075,6.7,False
CVE-2024-1076,3.1,False
CVE-2024-1077,1.4,False
CVE-2024-1078,4.0,False
CVE-2024-1079,4.9,False
CVE-2024-1080,2.1,False
CVE-2024-1081,3.4,False
CVE-2024-1082,4.0,False
CVE-2024-1083,6.4,False
CVE-2024-1084,4.3,False
CVE-2024-1085,4.6,True
CVE-2024-1086,4.6,False
CVE-2024-1087,4.5,False
CVE-2024-1088,5.1,False
CVE-2024-1089,4.7,False
CVE-2024-1090,3.9,True
CVE-2024-1091,3.0,False
CVE-2024-1092,2.9,False
CVE-2024-1093,4.7,True
CVE-2024-1094,5.8,False
CVE-2024-1095,9.6,False
CVE-2024-1096,3.5,False
CVE-2024-1097,3.4,False
CVE-2024-1098,2.7,False
CVE-2024-1099,5.0,False
CVE-2024-1100,2.9,False
CVE-2024-1101,3.3,False
CVE-2024-1102,6.5,False
CVE-2024-1103,3.1,False
CVE-2024-1104,6.5,False
CVE-2024-1105,6.3,False
CVE-2024-1106,6.4,False
CVE-2024-1107,4.6,False
CVE-2024-1108,6.0,False
CVE-2024-1109,5.6,False
CVE-2024-1110,6.0,False
CVE-2024-1111,5.0,False
CVE-2024-1112,2.6,False
CVE-2024-1113,3.5,True
CVE-2024-1114,3.8,False
CVE-2024-1115,4.3,False
CVE-2024-1116,7.6,False
CVE-2024-1117,3.7,False
CVE-2024-1118,1.7,False
CVE-2024-1119,4.8,False
CVE-2024-1120,4.1,False
CVE-2024-1121,2.1,True
CVE-2024-1122,6.4,False
CVE-2024-1123,7.2,False
CVE-2024-1124,9.5,False
CVE-2024-1125,2.9,False
CVE-2024-1126,3.5,False
CVE-2024-1127,4.4,False
CVE-2024-1128,2.6,False
CVE-2024-1129,9.3,False
CVE-2024-1130,2.5,False
CVE-2024-1131,1.7,True
CVE-2024-1132,4.9,True
CVE-2024-1133,2.2,False
CVE-2024-1134,2.4,False
CVE-2024-1135,6.2,False
CVE-2024-1136,4.1,True
CVE-2024-1137,1.9,False
CVE-2024-1138,6.1,True
CVE-2024-1139,5.8,False
CVE-2024-1140,9.4,False
CVE-2024-1141,7.2,False
CVE-2024-1142,5.2,False
CVE-2024-1143,3.8,False
CVE-2024-1144,4.0,False
CVE-2024-1145,4.6,True
CVE-2024-1146,5.2,False
CVE-2024-1147,4.8,True
CVE-2024-1148,4.6,False
CVE-2024-1149,2.1,False
CVE-2024-1150,3.7,False
CVE-2024-1151,9.1,False
CVE-2024-1152,6.1,True
CVE-2024-1153,3.5,False
CVE-2024-1154,8.4,False
CVE-2024-1155,1.6,False
CVE-2024-1156,7.3,False
CVE-2024-1157,7.9,False
CVE-2024-1158,5.6,False
CVE-2024-1159,3.2,False
CVE-2024-1160,7.2,False
CVE-2024-1161,6.4,False
CVE-2024-1162,4.2,False
CVE-2024-1163,6.6,False
CVE-2024-1164,9.5,False
CVE-2024-1165,3.2,False
CVE-2024-1166,9.8,False
CVE-2024-1167,4.0,False
CVE-2024-1168,3.0,True
CVE-2024-1169,4.7,False
CVE-2024-1170,6.3,False
CVE-2024-1171,6.4,False
CVE-2024-1172,3.8,False
CVE-2024-1173,4.4,False
CVE-2024-1174,5.3,False
CVE-2024-1175,9.9,False
CVE-2024-1176,4.2,True
CVE-2024-1177,5.5,False
CVE-2024-1178,3.3,False
CVE-2024-1179,5.0,False
CVE-2024-1180,5.1,False
CVE-2024-1181,6.0,False
CVE-2024-1182,6.4,False
CVE-2024-1183,6.9,False
CVE-2024-1184,3.1,False
CVE-2024-1185,9.6,False
CVE-2024-1186,8.4,False
CVE-2024-1187,4.6,False
CVE-2024-1188,3.3,False
CVE-2024-1189,3.6,True
CVE-2024-1190,3.8,False
CVE-2024-1191,2.4,False
CVE-2024-1192,6.4,False
CVE-2024-1193,3.7,False
CVE-2024-1194,4.5,False
CVE-2024-1195,4.8,False
CVE-2024-1196,2.8,False
CVE-2024-1197,1.6,False
CVE-2024-1198,4.2,False
CVE-2024-1199,5.4,False
CVE-2024-1200,4.8,False
CVE-2024-1201,3.2,False
CVE-2024-1202,7.0,False
CVE-2024-1203,2.1,True
CVE-2024-1204,3.5,True
CVE-2024-1205,3.7,False
CVE-2024-1206,6.6,False
CVE-2024-1207,2.7,False
CVE-2024-1208,9.8,False
CVE-2024-1209,4.8,False
CVE-2024-1210,9.8,False
CVE-2024-1211,5.0,False
CVE-2024-1212,3.5,False
CVE-2024-1213,6.0,False
CVE-2024-1214,3.9,False
CVE-2024-1215,6.4,False
CVE-2024-1216,1.8,False
CVE-2024-1217,9.5,True
CVE-2024-1218,4.0,False
CVE-2024-1219,4.3,False
CVE-2024-1220,2.9,False
CVE-2024-1221,3.4,False
CVE-2024-1222,6.0,True
CVE-2024-1223,4.4,False
CVE-2024-1224,6.4,False
CVE-2024-1225,4.5,True
CVE-2024-1226,4.2,False
CVE-2024-1227,5.0,False
CVE-2024-1228,4.1,False
CVE-2024-1229,5.7,False
CVE-2024-1230,7.2,False
CVE-2024-1231,2.6,False
CVE-2024-1232,3.6,False
CVE-2024-1233,6.6,False
CVE-2024-1234,4.4,False
CVE-2024-1235,4.4,False
CVE-2024-1236,5.1,False
CVE-2024-1237,2.9,True
CVE-2024-1238,4.0,False
CVE-2024-1239,5.7,False
CVE-2024-1240,7.0,True
CVE-2024-1241,3.5,False
CVE-2024-1242,5.2,False
CVE-2024-1243,3.4,False
CVE-2024-1244,2.3,False
CVE-2024-1245,5.8,False
CVE-2024-1246,3.0,True
CVE-2024-1247,4.6,False
CVE-2024-1248,9.4,False
CVE-2024-1249,3.3,False
CVE-2024-1250,9.3,False
CVE-2024-1251,5.6,False
CVE-2024-1252,9.5,False
CVE-2024-1253,4.6,False
CVE-2024-1254,3.9,False
CVE-2024-1255,8.5,False
CVE-2024-1256,4.0,False
CVE-2024-1257,4.4,False
CVE-2024-1258,5.9,False
CVE-2024-1259,2.6,False
CVE-2024-1260,1.8,False
CVE-2024-1261,6.1,False
CVE-2024-1262,2.0,False
CVE-2024-1263,5.4,True
CVE-2024-1264,6.1,True
CVE-2024-1265,5.9,False
CVE-2024-1266,5.4,False
CVE-2024-1267,7.5,False
CVE-2024-1268,6.5,False
CVE-2024-1269,4.6,True
CVE-2024-1270,5.4,False
CVE-2024-1271,5.5,False
CVE-2024-1272,2.7,False
CVE-2024-1273,3.4,False
CVE-2024-1274,3.9,False
CVE-2024-1275,3.2,False
CVE-2024-1276,5.7,False
CVE-2024-1277,4.4,False
CVE-2024-1278,6.1,False
CVE-2024-1279,3.4,False
CVE-2024-1280,4.4,False
CVE-2024-1281,4.6,False
CVE-2024-1282,9.9,True
CVE-2024-1283,6.0,False
CVE-2024-1284,8.5,False
CVE-2024-1285,3.2,False
CVE-2024-1286,6.4,False
CVE-2024-1287,4.0,False
CVE-2024-1288,5.4,False
CVE-2024-1289,3.3,False
CVE-2024-1290,3.1,False
CVE-2024-1291,4.1,False
CVE-2024-1292,4.8,False
CVE-2024-1293,9.2,False
CVE-2024-1294,6.4,False
CVE-2024-1295,3.1,False
CVE-2024-1296,4.8,False
CVE-2024-1297,6.9,False
CVE-2024-1298,6.7,False
CVE-2024-1299,3.4,False
CVE-2024-1300,7.4,False
CVE-2024-1301,3.6,False
CVE-2024-1302,5.6,False
CVE-2024-1303,6.0,True
CVE-2024-1304,5.2,False
CVE-2024-1305,3.5,False
CVE-2024-1306,4.3,True
CVE-2024-1307,3.7,False
CVE-2024-1308,4.6,False
CVE-2024-1309,9.7,False
CVE-2024-1310,5.1,False
CVE-2024-1311,6.1,False
CVE-2024-1312,7.6,False
CVE-2024-1313,2.8,False
CVE-2024-1314,2.2,False
CVE-2024-1315,2.4,False
CVE-2024-1316,4.5,True
CVE-2024-1317,5.8,False
CVE-2024-1318,4.4,True
CVE-2024-1319,4.8,False
CVE-2024-1320,3.2,False
CVE-2024-1321,5.7,False
CVE-2024-1322,5.2,True
CVE-2024-1323,4.1,False
CVE-2024-1324,4.6,False
CVE-2024-1325,9.3,False
CVE-2024-1326,4.2,False
CVE-2024-1327,2.2,False
CVE-2024-1328,2.2,True
CVE-2024-1329,3.6,False
CVE-2024-1330,3.8,False
CVE-2024-1331,4.4,False
CVE-2024-1332,3.0,False
CVE-2024-1333,6.0,False
CVE-2024-1334,5.7,False
CVE-2024-1335,6.5,False
CVE-2024-1336,7.4,True
CVE-2024-1337,3.8,False
CVE-2024-1338,6.4,False
CVE-2024-1339,5.4,False
CVE-2024-1340,5.5,False
CVE-2024-1341,2.3,False
CVE-2024-1342,7.2,False
CVE-2024-1343,4.0,False
CVE-2024-1344,6.6,False
CVE-2024-1345,7.9,False
CVE-2024-1346,4.7,False
CVE-2024-1347,5.8,False
CVE-2024-1348,3.2,False
CVE-2024-1349,1.8,False
CVE-2024-1350,5.3,False
CVE-2024-1351,4.7,False
CVE-2024-1352,4.8,False
CVE-2024-1353,5.4,False
CVE-2024-1354,5.7,False
CVE-2024-1355,4.9,False
CVE-2024-1356,2.4,False
CVE-2024-1357,6.9,False
CVE-2024-1358,3.5,False
CVE-2024-1359,4.8,False
CVE-2024-1360,7.2,False
CVE-2024-1361,3.7,False
CVE-2024-1362,3.4,False
CVE-2024-1363,5.0,False
CVE-2024-1364,4.6,False
CVE-2024-1365,4.3,False
CVE-2024-1366,5.1,False
CVE-2024-1367,6.1,False
CVE-2024-1368,9.9,False
CVE-2024-1369,3.8,False
CVE-2024-1370,5.5,False
CVE-2024-1371,3.0,False
CVE-2024-1372,4.0,False
CVE-2024-1373,3.6,False
CVE-2024-1374,5.8,False
CVE-2024-1375,6.2,False
CVE-2024-1376,3.4,True
CVE-2024-1377,7.2,False
CVE-2024-1378,2.2,False
CVE-2024-1379,3.1,False
CVE-2024-1380,2.2,False
CVE-2024-1381,3.4,False
CVE-2024-1382,4.8,False
CVE-2024-1383,3.3,True
CVE-2024-1384,5.4,False
CVE-2024-1385,3.9,False
CVE-2024-1386,4.3,False
CVE-2024-1387,2.1,False
CVE-2024-1388,6.2,False
CVE-2024-1389,6.5,False
CVE-2024-1390,4.7,False
CVE-2024-1391,1.2,False
CVE-2024-1392,1.5,False
CVE-2024-1393,5.4,True
CVE-2024-1394,5.4,False
CVE-2024-1395,5.6,False
CVE-2024-1396,3.0,False
CVE-2024-1397,4.6,False
CVE-2024-1398,7.4,False
CVE-2024-1399,3.0,False
CVE-2024-1400,6.9,False
CVE-2024-1401,2.7,False
CVE-2024-1402,4.4,False
CVE-2024-1403,6.3,False
CVE-2024-1404,3.1,False
CVE-2024-1405,3.9,False
CVE-2024-1406,4.5,False
CVE-2024-1407,4.6,False
CVE-2024-1408,3.5,True
CVE-2024-1409,5.4,False
CVE-2024-1410,6.8,False
CVE-2024-1411,5.7,False
CVE-2024-1412,4.6,False
CVE-2024-1413,2.3,True
CVE-2024-1414,3.2,False
CVE-2024-1415,5.5,False
CVE-2024-1416,2.6,False
CVE-2024-1417,4.2,False
CVE-2024-1418,2.6,False
CVE-2024-1419,6.4,False
CVE-2024-1420,4.6,False
CVE-2024-1421,6.1,False
CVE-2024-1422,5.6,False
CVE-2024-1423,5.1,True
CVE-2024-1424,4.0,False
CVE-2024-1425,5.0,False
CVE-2024-1426,7.5,False
CVE-2024-1427,4.3,False
CVE-2024-1428,3.3,False
CVE-2024-1429,1.8,False
CVE-2024-1430,4.0,False
CVE-2024-1431,7.0,False
CVE-2024-1432,2.7,False
CVE-2024-1433,3.2,False
CVE-2024-1434,2.0,False
CVE-2024-1435,5.1,False
CVE-2024-1436,3.0,False
CVE-2024-1437,3.7,False
CVE-2024-1438,9.7,False
CVE-2024-1439,2.5,False
CVE-2024-1440,3.0,False
CVE-2024-1441,5.8,False
CVE-2024-1442,4.8,False
CVE-2024-1443,5.6,False
CVE-2024-1444,3.1,False
CVE-2024-1445,2.9,False
CVE-2024-1446,4.6,False
CVE-2024-1447,2.4,False
CVE-2024-1448,5.4,False
CVE-2024-1449,4.6,False
CVE-2024-1450,4.7,False
CVE-2024-1451,4.1,False
CVE-2024-1452,3.3,False
CVE-2024-1453,3.4,False
CVE-2024-1454,4.2,False
CVE-2024-1455,2.7,True
CVE-2024-1456,2.6,False
CVE-2024-1457,6.2,False
CVE-2024-1458,2.9,False
CVE-2024-1459,9.9,False
CVE-2024-1460,4.3,True
CVE-2024-1461,6.5,False
CVE-2024-1462,2.8,False
CVE-2024-1463,9.9,True
CVE-2024-1464,7.5,False
CVE-2024-1465,5.5,False
CVE-2024-1466,4.5,False
CVE-2024-1467,6.5,False
CVE-2024-1468,3.9,False
CVE-2024-1469,2.5,False
CVE-2024-1470,3.9,False
CVE-2024-1471,3.3,False
CVE-2024-1472,7.2,True
CVE-2024-1473,2.5,False
CVE-2024-1474,2.5,False
CVE-2024-1475,3.9,False
CVE-2024-1476,1.8,False
CVE-2024-1477,1.7,False
CVE-2024-1478,4.3,False
CVE-2024-1479,5.4,False
CVE-2024-1480,6.1,False
CVE-2024-1481,6.3,False
CVE-2024-1482,4.2,False
CVE-2024-1483,2.9,False
CVE-2024-1484,7.0,True
CVE-2024-1485,5.9,False
CVE-2024-1486,2.9,False
CVE-2024-1487,5.9,True
CVE-2024-1488,9.4,False
CVE-2024-1489,8.2,False
CVE-2024-1490,5.0,True
CVE-2024-1491,2.9,False
CVE-2024-1492,6.9,False
CVE-2024-1493,5.3,False
CVE-2024-1494,6.5,False
CVE-2024-1495,4.2,False
CVE-2024-1496,4.8,False
CVE-2024-1497,9.7,False
CVE-2024-1498,5.4,False
CVE-2024-1499,3.6,False
CVE-2024-1500,3.3,False
CVE-2024-1501,5.4,False
CVE-2024-1502,5.9,False
CVE-2024-1503,5.6,False
CVE-2024-1504,4.9,False
CVE-2024-1505,5.9,False
CVE-2024-1506,3.1,False
CVE-2024-1507,4.3,False
CVE-2024-1508,1.4,False
CVE-2024-1509,4.3,True
CVE-2024-1510,3.7,False
CVE-2024-1511,6.1,False
CVE-2024-1512,3.3,False
CVE-2024-1513,5.3,False
CVE-2024-1514,4.1,False
CVE-2024-1515,4.2,False
CVE-2024-1516,6.5,False
CVE-2024-1517,6.2,False
CVE-2024-1518,5.0,False
CVE-2024-1519,3.8,True
CVE-2024-1520,5.1,False
CVE-2024-1521,3.8,False
CVE-2024-1522,6.6,False
CVE-2024-1523,9.2,False
CVE-2024-1524,3.9,False
CVE-2024-1525,9.4,False
CVE-2024-1526,3.1,False
CVE-2024-1527,6.9,False
CVE-2024-1528,5.6,False
CVE-2024-1529,3.6,False
CVE-2024-1530,5.7,False
CVE-2024-1531,1.9,False
CVE-2024-1532,6.3,False
CVE-2024-1533,4.1,False
CVE-2024-1534,4.0,False
CVE-2024-1535,6.7,False
CVE-2024-1536,6.9,False
CVE-2024-1537,5.8,False
CVE-2024-1538,6.3,False
CVE-2024-1539,8.1,False
CVE-2024-1540,6.6,True
CVE-2024-1541,5.0,False
CVE-2024-1542,2.5,False
CVE-2024-1543,2.3,False
CVE-2024-1544,3.1,False
CVE-2024-1545,3.8,False
CVE-2024-1546,8.0,False
CVE-2024-1547,5.7,False
CVE-2024-1548,5.6,False
CVE-2024-1549,5.0,False
CVE-2024-1550,9.8,True
CVE-2024-1551,5.2,False
CVE-2024-1552,3.9,False
CVE-2024-1553,4.3,False
CVE-2024-1554,6.1,False
CVE-2024-1555,3.7,False
CVE-2024-1556,4.4,False
CVE-2024-1557,3.7,False
CVE-2024-1558,6.4,False
CVE-2024-1559,5.3,False
CVE-2024-1560,6.5,False
CVE-2024-1561,6.6,False
CVE-2024-1562,8.5,False
CVE-2024-1563,4.5,False
CVE-2024-1564,5.6,False
CVE-2024-1565,4.1,False
CVE-2024-1566,3.0,False
CVE-2024-1567,4.6,False
CVE-2024-1568,4.3,False
CVE-2024-1569,9.3,False
CVE-2024-1570,4.0,False
CVE-2024-1571,6.2,False
CVE-2024-1572,4.6,True
CVE-2024-1573,3.9,False
CVE-2024-1574,4.1,False
CVE-2024-1575,5.1,False
CVE-2024-1576,9.8,False
CVE-2024-1577,4.3,True
CVE-2024-1578,10.0,False
CVE-2024-1579,5.0,False
CVE-2024-1580,3.9,False
CVE-2024-1581,4.9,False
CVE-2024-1582,4.6,False
CVE-2024-1583,9.7,False
CVE-2024-1584,4.4,False
CVE-2024-1585,6.1,False
CVE-2024-1586,4.2,False
CVE-2024-1587,3.3,False
CVE-2024-1588,5.9,False
CVE-2024-1589,3.4,False
CVE-2024-1590,2.1,False
CVE-2024-1591,3.0,False
CVE-2024-1592,2.8,False
CVE-2024-1593,4.6,False
CVE-2024-1594,4.7,False
CVE-2024-1595,5.6,False
CVE-2024-1596,3.8,False
CVE-2024-1597,3.5,False
CVE-2024-1598,1.1,True
CVE-2024-1599,2.8,False
CVE-2024-1600,1.4,False
CVE-2024-1601,6.4,False
CVE-2024-1602,5.6,False
CVE-2024-1603,3.7,False
CVE-2024-1604,2.4,False
CVE-2024-1605,4.0,False
CVE-2024-1606,5.7,False
CVE-2024-1607,6.7,False
CVE-2024-1608,4.9,False
CVE-2024-1609,1.8,False
CVE-2024-1610,4.4,False
CVE-2024-1611,4.1,False
CVE-2024-1612,4.2,False
CVE-2024-1613,4.2,False
CVE-2024-1614,4.8,False
CVE-2024-1615,5.3,False
CVE-2024-1616,5.1,False
CVE-2024-1617,9.4,False
CVE-2024-1618,3.1,False
CVE-2024-1619,2.3,False
CVE-2024-1620,2.6,False
CVE-2024-1621,4.7,False
CVE-2024-1622,3.6,True
CVE-2024-1623,7.7,True
CVE-2024-1624,5.0,False
CVE-2024-1625,2.6,False
CVE-2024-1626,5.2,False
CVE-2024-1627,2.9,False
CVE-2024-1628,3.0,False
CVE-2024-1629,4.4,False
CVE-2024-1630,8.3,False
CVE-2024-1631,3.8,False
CVE-2024-1632,4.8,False
CVE-2024-1633,3.4,False
CVE-2024-1634,4.2,False
CVE-2024-1635,5.5,False
CVE-2024-1636,3.7,False
CVE-2024-1637,2.9,False
CVE-2024-1638,4.4,False
CVE-2024-1639,3.3,False
CVE-2024-1640,2.3,True
CVE-2024-1641,4.9,False
CVE-2024-1642,5.8,False
CVE-2024-1643,2.7,False
CVE-2024-1644,3.3,False
CVE-2024-1645,3.9,False
CVE-2024-1646,3.3,False
CVE-2024-1647,7.8,False
CVE-2024-1648,4.4,False
CVE-2024-1649,7.4,False
CVE-2024-1650,3.3,False
CVE-2024-1651,5.8,False
CVE-2024-1652,5.3,False
CVE-2024-1653,2.1,False
CVE-2024-1654,4.7,False
CVE-2024-1655,5.8,False
CVE-2024-1656,4.3,False
CVE-2024-1657,7.7,False
CVE-2024-1658,3.4,False
CVE-2024-1659,6.3,True
CVE-2024-1660,6.2,False
CVE-2024-1661,6.1,True
CVE-2024-1662,7.7,False
CVE-2024-1663,5.4,False
CVE-2024-1664,5.4,True
CVE-2024-1665,10.0,False
CVE-2024-1666,6.0,True
CVE-2024-1667,6.7,False
CVE-2024-1668,4.9,False
CVE-2024-1669,6.6,False
CVE-2024-1670,7.5,False
CVE-2024-1671,5.2,False
CVE-2024-1672,4.2,False
CVE-2024-1673,3.8,False
CVE-2024-1674,3.5,False
CVE-2024-1675,2.8,False
CVE-2024-1676,3.5,True
CVE-2024-1677,2.3,False
CVE-2024-1678,3.1,True
CVE-2024-1679,2.7,False
CVE-2024-1680,5.1,False
CVE-2024-1681,3.8,False
CVE-2024-1682,4.9,True
CVE-2024-1683,1.7,False
CVE-2024-1684,5.3,False
CVE-2024-1685,5.0,False
CVE-2024-1686,5.7,False
CVE-2024-1687,4.1,False
CVE-2024-1688,3.1,False
CVE-2024-1689,2.7,False
CVE-2024-1690,9.7,False
CVE-2024-1691,2.9,False
CVE-2024-1692,5.9,False
CVE-2024-1693,4.7,False
CVE-2024-1694,4.3,False
CVE-2024-1695,5.3,False
CVE-2024-1696,5.8,False
CVE-2024-1697,5.6,True
CVE-2024-1698,1.9,False
CVE-2024-1699,2.6,False
CVE-2024-1700,3.6,False
CVE-2024-1701,2.2,False
CVE-2024-1702,4.5,True
CVE-2024-1703,5.7,False
CVE-2024-1704,7.6,False
CVE-2024-1705,2.8,False
CVE-2024-1706,3.8,False
CVE-2024-1707,5.5,True
CVE-2024-1708,4.4,False
CVE-2024-1709,2.6,True
CVE-2024-1710,4.3,False
CVE-2024-1711,3.9,False
CVE-2024-1712,3.2,False
CVE-2024-1713,4.3,False
CVE-2024-1714,4.2,False
CVE-2024-1715,2.3,True
CVE-2024-1716,5.7,True
CVE-2024-1717,7.1,False
CVE-2024-1718,4.2,False
CVE-2024-1719,3.2,False
CVE-2024-1720,4.2,False
CVE-2024-1721,2.9,False
CVE-2024-1722,2.6,False
CVE-2024-1723,6.9,False
CVE-2024-1724,3.9,False
CVE-2024-1725,4.1,False
CVE-2024-1726,5.4,False
CVE-2024-1727,3.2,False
CVE-2024-1728,2.4,False
CVE-2024-1729,3.5,False
CVE-2024-1730,5.3,False
CVE-2024-1731,2.9,False
CVE-2024-1732,6.8,False
CVE-2024-1733,4.8,False
CVE-2024-1734,4.2,False
CVE-2024-1735,4.7,False
CVE-2024-1736,4.2,False
CVE-2024-1737,5.7,False
CVE-2024-1738,1.8,True
CVE-2024-1739,5.5,False
CVE-2024-1740,6.6,False
CVE-2024-1741,4.9,False
CVE-2024-1742,2.9,False
CVE-2024-1743,4.4,False
CVE-2024-1744,4.2,False
CVE-2024-1745,5.8,False
CVE-2024-1746,4.8,False
CVE-2024-1747,6.5,False
CVE-2024-1748,5.6,False
CVE-2024-1749,2.9,False
CVE-2024-1750,1.2,False
CVE-2024-1751,5.7,False
CVE-2024-1752,2.7,False
CVE-2024-1753,3.0,False
CVE-2024-1754,5.2,True
CVE-2024-1755,2.1,False
CVE-2024-1756,2.5,False
CVE-2024-1757,5.1,False
CVE-2024-1758,2.0,False
CVE-2024-1759,3.5,False
CVE-2024-1760,4.7,False
CVE-2024-1761,4.9,False
CVE-2024-1762,3.0,False
CVE-2024-1763,7.5,False
CVE-2024-1764,2.9,False
CVE-2024-1765,3.0,False
CVE-2024-1766,9.9,False
CVE-2024-1767,3.1,True
CVE-2024-1768,4.4,False
CVE-2024-1769,3.8,False
CVE-2024-1770,5.7,False
CVE-2024-1771,3.7,False
CVE-2024-1772,4.9,False
CVE-2024-1773,6.4,False
CVE-2024-1774,3.9,False
CVE-2024-1775,3.4,False
CVE-2024-1776,7.0,False
CVE-2024-1777,3.4,False
CVE-2024-1778,3.3,False
CVE-2024-1779,5.7,False
CVE-2024-1780,4.3,True
CVE-2024-1781,1.9,False
CVE-2024-1782,4.0,False
CVE-2024-1783,7.5,False
CVE-2024-1784,4.1,False
CVE-2024-1785,5.5,False
CVE-2024-1786,2.9,False
CVE-2024-1787,2.3,False
CVE-2024-1788,3.5,False
CVE-2024-1789,5.3,False
CVE-2024-1790,3.5,False
CVE-2024-1791,3.2,False
CVE-2024-1792,4.0,False
CVE-2024-1793,6.0,True
CVE-2024-1794,5.2,False
CVE-2024-1795,2.8,False
CVE-2024-1796,6.9,False
CVE-2024-1797,3.3,False
CVE-2024-1798,5.2,False
CVE-2024-1799,5.7,True
